Line_Item_ID,Date,Credit_Card_Number,Quantity,Menu_Item
35,01-01-2017,2.64121E+15,4,miso crab ramen
36,01-01-2017,2.64121E+15,4,miso crab ramen
37,01-01-2017,9.49963E+15,1,miso crab ramen
38,01-01-2017,9.49963E+15,1,miso crab ramen
39,01-01-2017,5.56735E+15,1,nagomi shoyu
40,01-01-2017,5.56735E+15,1,nagomi shoyu
41,01-01-2017,2.21048E+15,1,truffle butter ramen
42,01-01-2017,2.21048E+15,1,truffle butter ramen
43,01-01-2017,6.12981E+15,1,tori paitan ramen
44,01-01-2017,6.12981E+15,1,tori paitan ramen
45,01-01-2017,4.56755E+15,1,truffle butter ramen
46,01-01-2017,4.56755E+15,1,truffle butter ramen
47,01-01-2017,8.66698E+15,1,vegetarian spicy miso
48,01-01-2017,8.66698E+15,1,vegetarian spicy miso
49,01-01-2017,9.44716E+15,1,soft-shell miso crab ramen
50,01-01-2017,9.44716E+15,1,soft-shell miso crab ramen
51,01-01-2017,9.72025E+15,3,nagomi shoyu
52,01-01-2017,9.72025E+15,3,nagomi shoyu
53,01-01-2017,5.07697E+15,1,tori paitan ramen
54,01-01-2017,5.07697E+15,1,tori paitan ramen
55,01-01-2017,6.7593E+15,1,shio ramen
56,01-01-2017,6.7593E+15,1,shio ramen
57,01-01-2017,2.92561E+15,2,nagomi shoyu
58,01-01-2017,2.92561E+15,2,nagomi shoyu
59,01-01-2017,2.54889E+13,1,soft-shell miso crab ramen
60,01-01-2017,2.54889E+13,1,soft-shell miso crab ramen
61,01-01-2017,6.8277E+15,1,tonkotsu ramen
62,01-01-2017,6.8277E+15,1,tonkotsu ramen
63,01-01-2017,6.09227E+15,1,truffle butter ramen
64,01-01-2017,6.09227E+15,1,truffle butter ramen
65,01-01-2017,6.86834E+15,1,spicy miso ramen
66,01-01-2017,6.86834E+15,1,spicy miso ramen
67,01-01-2017,6.64471E+15,1,burnt garlic tonkotsu ramen
68,01-01-2017,6.64471E+15,1,burnt garlic tonkotsu ramen
69,01-01-2017,2.03567E+14,2,soft-shell miso crab ramen
70,01-01-2017,2.03567E+14,2,soft-shell miso crab ramen
71,01-01-2017,1.64673E+14,4,spicy miso ramen
72,01-01-2017,1.64673E+14,4,spicy miso ramen
73,01-01-2017,2.31809E+15,1,vegetarian spicy miso
74,01-01-2017,2.31809E+15,1,vegetarian spicy miso
75,01-01-2017,6.28459E+15,3,burnt garlic tonkotsu ramen
76,01-01-2017,6.28459E+15,3,burnt garlic tonkotsu ramen
77,01-01-2017,5.3729E+15,4,miso crab ramen
78,01-01-2017,5.3729E+15,4,miso crab ramen
79,01-01-2017,7.43413E+15,3,truffle butter ramen
80,01-01-2017,7.43413E+15,3,truffle butter ramen
81,01-01-2017,7.91839E+15,3,vegetarian spicy miso
82,01-01-2017,7.91839E+15,3,vegetarian spicy miso
83,01-01-2017,9.22924E+15,1,tori paitan ramen
84,01-01-2017,9.22924E+15,1,tori paitan ramen
85,01-01-2017,5.35724E+15,1,tonkotsu ramen
86,01-01-2017,5.35724E+15,1,tonkotsu ramen
87,01-01-2017,3.53472E+14,1,vegetarian spicy miso
88,01-01-2017,3.53472E+14,1,vegetarian spicy miso
89,01-01-2017,3.16392E+15,1,tonkotsu ramen
90,01-01-2017,3.16392E+15,1,tonkotsu ramen
91,01-01-2017,3.45137E+15,1,truffle butter ramen
92,01-01-2017,3.45137E+15,1,truffle butter ramen
93,01-01-2017,3.24215E+15,1,vegetarian curry + king trumpet mushroom ramen
94,01-01-2017,3.24215E+15,1,vegetarian curry + king trumpet mushroom ramen
95,01-01-2017,2.77048E+15,1,vegetarian spicy miso
96,01-01-2017,2.77048E+15,1,vegetarian spicy miso
97,01-01-2017,1.5042E+15,3,truffle butter ramen
98,01-01-2017,1.5042E+15,3,truffle butter ramen
99,01-01-2017,9.99613E+15,1,nagomi shoyu
100,01-01-2017,9.99613E+15,1,nagomi shoyu
101,01-01-2017,9.86386E+15,1,truffle butter ramen
102,01-01-2017,9.86386E+15,1,truffle butter ramen
103,01-01-2017,6.89854E+15,1,tori paitan ramen
104,01-01-2017,6.89854E+15,1,tori paitan ramen
105,01-01-2017,4.40093E+14,1,vegetarian curry + king trumpet mushroom ramen
106,01-01-2017,4.40093E+14,1,vegetarian curry + king trumpet mushroom ramen
107,01-01-2017,2.57845E+15,1,spicy miso ramen
108,01-01-2017,2.57845E+15,1,spicy miso ramen
109,01-01-2017,2.01039E+15,1,tori paitan ramen
110,01-01-2017,2.01039E+15,1,tori paitan ramen
111,01-01-2017,3.67141E+15,1,tori paitan ramen
112,01-01-2017,3.67141E+15,1,tori paitan ramen
113,01-01-2017,4.75105E+15,2,vegetarian spicy miso
114,01-01-2017,4.75105E+15,2,vegetarian spicy miso
115,01-01-2017,1.73501E+15,1,burnt garlic tonkotsu ramen
116,01-01-2017,1.73501E+15,1,burnt garlic tonkotsu ramen
117,01-01-2017,3.91643E+15,1,burnt garlic tonkotsu ramen
118,01-01-2017,3.91643E+15,1,burnt garlic tonkotsu ramen
119,01-01-2017,2.55844E+15,1,burnt garlic tonkotsu ramen
120,01-01-2017,2.55844E+15,1,burnt garlic tonkotsu ramen
121,01-01-2017,7.29504E+15,1,vegetarian spicy miso
122,01-01-2017,7.29504E+15,1,vegetarian spicy miso
123,01-01-2017,1.97956E+14,1,vegetarian curry + king trumpet mushroom ramen
124,01-01-2017,1.97956E+14,1,vegetarian curry + king trumpet mushroom ramen
125,01-01-2017,9.04987E+14,1,nagomi shoyu
126,01-01-2017,9.04987E+14,1,nagomi shoyu
127,01-01-2017,7.10618E+15,4,nagomi shoyu
128,01-01-2017,7.10618E+15,4,nagomi shoyu
129,01-01-2017,3.28425E+15,1,burnt garlic tonkotsu ramen
130,01-01-2017,3.28425E+15,1,burnt garlic tonkotsu ramen
131,01-01-2017,3.64581E+15,1,nagomi shoyu
132,01-01-2017,3.64581E+15,1,nagomi shoyu
133,01-01-2017,1.54854E+15,1,vegetarian spicy miso
134,01-01-2017,1.54854E+15,1,vegetarian spicy miso
135,01-01-2017,5.88082E+15,1,truffle butter ramen
136,01-01-2017,5.88082E+15,1,truffle butter ramen
137,01-01-2017,2.93717E+15,1,truffle butter ramen
138,01-01-2017,2.93717E+15,1,truffle butter ramen
139,01-01-2017,1.35512E+14,1,shio ramen
140,01-01-2017,1.35512E+14,1,shio ramen
141,01-01-2017,7.82607E+15,1,vegetarian curry + king trumpet mushroom ramen
142,01-01-2017,7.82607E+15,1,vegetarian curry + king trumpet mushroom ramen
143,01-01-2017,8.93959E+13,1,nagomi shoyu
144,01-01-2017,8.93959E+13,1,nagomi shoyu
145,01-01-2017,9.96248E+15,1,vegetarian spicy miso
146,01-01-2017,9.96248E+15,1,vegetarian spicy miso
147,01-01-2017,8.94326E+15,1,vegetarian curry + king trumpet mushroom ramen
148,01-01-2017,8.94326E+15,1,vegetarian curry + king trumpet mushroom ramen
149,01-01-2017,4.43804E+15,1,shio ramen
150,01-01-2017,4.43804E+15,1,shio ramen
151,01-01-2017,2.22557E+15,1,shio ramen
152,01-01-2017,2.22557E+15,1,shio ramen
153,01-01-2017,9.69931E+14,1,vegetarian spicy miso
154,01-01-2017,9.69931E+14,1,vegetarian spicy miso
155,01-01-2017,9.8772E+15,2,soft-shell miso crab ramen
156,01-01-2017,9.8772E+15,2,soft-shell miso crab ramen
157,01-01-2017,6.27106E+14,2,shio ramen
158,01-01-2017,6.27106E+14,2,shio ramen
159,01-01-2017,8.84037E+14,1,vegetarian spicy miso
160,01-01-2017,8.84037E+14,1,vegetarian spicy miso
161,01-01-2017,5.93258E+15,1,nagomi shoyu
162,01-01-2017,5.93258E+15,1,nagomi shoyu
163,01-01-2017,2.98474E+15,1,vegetarian spicy miso
164,01-01-2017,2.98474E+15,1,vegetarian spicy miso
165,01-01-2017,3.64804E+13,3,tori paitan ramen
166,01-01-2017,3.64804E+13,3,tori paitan ramen
167,01-01-2017,6.44945E+14,2,miso crab ramen
168,01-01-2017,6.44945E+14,2,miso crab ramen
169,01-01-2017,9.35157E+15,1,vegetarian curry + king trumpet mushroom ramen
170,01-01-2017,9.35157E+15,1,vegetarian curry + king trumpet mushroom ramen
171,01-01-2017,4.73734E+15,1,tori paitan ramen
172,01-01-2017,4.73734E+15,1,tori paitan ramen
173,01-01-2017,7.45625E+15,1,truffle butter ramen
174,01-01-2017,7.45625E+15,1,truffle butter ramen
175,01-01-2017,8.94385E+15,1,spicy miso ramen
176,01-01-2017,8.94385E+15,1,spicy miso ramen
177,01-01-2017,1.08221E+15,1,spicy miso ramen
178,01-01-2017,1.08221E+15,1,spicy miso ramen
179,01-01-2017,3.70241E+15,1,spicy miso ramen
180,01-01-2017,3.70241E+15,1,spicy miso ramen
181,01-01-2017,1.60369E+14,1,soft-shell miso crab ramen
182,01-01-2017,1.60369E+14,1,soft-shell miso crab ramen
183,01-01-2017,9.35203E+15,1,soft-shell miso crab ramen
184,01-01-2017,9.35203E+15,1,soft-shell miso crab ramen
185,01-01-2017,9.21204E+15,3,spicy miso ramen
186,01-01-2017,9.21204E+15,3,spicy miso ramen
187,01-01-2017,4.00043E+15,1,vegetarian curry + king trumpet mushroom ramen
188,01-01-2017,4.00043E+15,1,vegetarian curry + king trumpet mushroom ramen
189,01-02-2017,2.40816E+15,2,soft-shell miso crab ramen
190,01-02-2017,2.40816E+15,2,soft-shell miso crab ramen
191,01-02-2017,1.06761E+15,1,miso crab ramen
192,01-02-2017,1.06761E+15,1,miso crab ramen
193,01-02-2017,1.29046E+15,1,nagomi shoyu
194,01-02-2017,1.29046E+15,1,nagomi shoyu
195,01-02-2017,7.10692E+15,1,tonkotsu ramen
196,01-02-2017,7.10692E+15,1,tonkotsu ramen
197,01-02-2017,8.51754E+15,1,tori paitan ramen
198,01-02-2017,8.51754E+15,1,tori paitan ramen
199,01-02-2017,6.284E+15,1,vegetarian curry + king trumpet mushroom ramen
200,01-02-2017,6.284E+15,1,vegetarian curry + king trumpet mushroom ramen
201,01-03-2017,5.26184E+15,4,burnt garlic tonkotsu ramen
202,01-03-2017,5.26184E+15,4,burnt garlic tonkotsu ramen
203,01-03-2017,3.0687E+15,1,shio ramen
204,01-03-2017,3.0687E+15,1,shio ramen
205,01-03-2017,7.28947E+15,1,shio ramen
206,01-03-2017,7.28947E+15,1,shio ramen
207,01-03-2017,5.53194E+15,1,spicy miso ramen
208,01-03-2017,5.53194E+15,1,spicy miso ramen
209,01-03-2017,5.91818E+15,2,vegetarian curry + king trumpet mushroom ramen
210,01-03-2017,5.91818E+15,2,vegetarian curry + king trumpet mushroom ramen
211,01-03-2017,9.56514E+15,1,tonkotsu ramen
212,01-03-2017,9.56514E+15,1,tonkotsu ramen
213,01-03-2017,1.33436E+15,1,burnt garlic tonkotsu ramen
214,01-03-2017,1.33436E+15,1,burnt garlic tonkotsu ramen
215,01-03-2017,7.37101E+15,1,soft-shell miso crab ramen
216,01-03-2017,7.37101E+15,1,soft-shell miso crab ramen
217,01-03-2017,9.31458E+15,1,spicy miso ramen
218,01-03-2017,9.31458E+15,1,spicy miso ramen
219,01-03-2017,9.73731E+15,1,soft-shell miso crab ramen
220,01-03-2017,9.73731E+15,1,soft-shell miso crab ramen
221,01-03-2017,8.01528E+15,1,tonkotsu ramen
222,01-03-2017,8.01528E+15,1,tonkotsu ramen
223,01-03-2017,8.73235E+15,1,tori paitan ramen
224,01-03-2017,8.73235E+15,1,tori paitan ramen
225,01-03-2017,6.84742E+15,1,truffle butter ramen
226,01-03-2017,6.84742E+15,1,truffle butter ramen
227,01-03-2017,8.99054E+15,1,soft-shell miso crab ramen
228,01-03-2017,8.99054E+15,1,soft-shell miso crab ramen
229,01-03-2017,1.71991E+15,2,miso crab ramen
230,01-03-2017,1.71991E+15,2,miso crab ramen
231,01-03-2017,2.37827E+15,4,burnt garlic tonkotsu ramen
232,01-03-2017,2.37827E+15,4,burnt garlic tonkotsu ramen
233,01-03-2017,7.56073E+15,1,spicy miso ramen
234,01-03-2017,7.56073E+15,1,spicy miso ramen
235,01-03-2017,7.79557E+15,1,nagomi shoyu
236,01-03-2017,7.79557E+15,1,nagomi shoyu
237,01-03-2017,1.83623E+15,1,spicy miso ramen
238,01-03-2017,1.83623E+15,1,spicy miso ramen
239,01-03-2017,4.33413E+15,1,burnt garlic tonkotsu ramen
240,01-03-2017,4.33413E+15,1,burnt garlic tonkotsu ramen
241,01-03-2017,2.97417E+15,1,burnt garlic tonkotsu ramen
242,01-03-2017,2.97417E+15,1,burnt garlic tonkotsu ramen
243,01-03-2017,6.97341E+15,4,truffle butter ramen
244,01-03-2017,6.97341E+15,4,truffle butter ramen
245,01-03-2017,6.16124E+15,1,vegetarian curry + king trumpet mushroom ramen
246,01-03-2017,6.16124E+15,1,vegetarian curry + king trumpet mushroom ramen
247,01-03-2017,6.34489E+15,1,soft-shell miso crab ramen
248,01-03-2017,6.34489E+15,1,soft-shell miso crab ramen
249,01-03-2017,8.22386E+15,1,soft-shell miso crab ramen
250,01-03-2017,8.22386E+15,1,soft-shell miso crab ramen
251,01-03-2017,2.60029E+15,1,tori paitan ramen
252,01-03-2017,2.60029E+15,1,tori paitan ramen
253,01-03-2017,3.09847E+14,1,shio ramen
254,01-03-2017,3.09847E+14,1,shio ramen
255,01-03-2017,9.35638E+15,1,truffle butter ramen
256,01-03-2017,9.35638E+15,1,truffle butter ramen
257,01-03-2017,6.01461E+15,1,spicy miso ramen
258,01-03-2017,6.01461E+15,1,spicy miso ramen
259,01-03-2017,9.39004E+15,1,nagomi shoyu
260,01-03-2017,9.39004E+15,1,nagomi shoyu
261,01-03-2017,3.73739E+14,1,truffle butter ramen
262,01-03-2017,3.73739E+14,1,truffle butter ramen
263,01-03-2017,9.92424E+15,1,vegetarian spicy miso
264,01-03-2017,9.92424E+15,1,vegetarian spicy miso
265,01-03-2017,3.37543E+15,1,truffle butter ramen
266,01-03-2017,3.37543E+15,1,truffle butter ramen
267,01-03-2017,1.13313E+15,1,tori paitan ramen
268,01-03-2017,1.13313E+15,1,tori paitan ramen
269,01-03-2017,9.17707E+11,1,soft-shell miso crab ramen
270,01-03-2017,9.17707E+11,1,soft-shell miso crab ramen
271,01-03-2017,5.05352E+15,1,soft-shell miso crab ramen
272,01-03-2017,5.05352E+15,1,soft-shell miso crab ramen
273,01-03-2017,1.85796E+14,1,soft-shell miso crab ramen
274,01-03-2017,1.85796E+14,1,soft-shell miso crab ramen
275,01-03-2017,4.51281E+15,1,shio ramen
276,01-03-2017,4.51281E+15,1,shio ramen
277,01-03-2017,3.64291E+15,1,vegetarian curry + king trumpet mushroom ramen
278,01-03-2017,3.64291E+15,1,vegetarian curry + king trumpet mushroom ramen
279,01-03-2017,9.98613E+15,3,tonkotsu ramen
280,01-03-2017,9.98613E+15,3,tonkotsu ramen
281,01-03-2017,5.14356E+15,1,vegetarian spicy miso
282,01-03-2017,5.14356E+15,1,vegetarian spicy miso
283,01-03-2017,5.01732E+14,2,tori paitan ramen
284,01-03-2017,5.01732E+14,2,tori paitan ramen
285,01-03-2017,4.97687E+15,1,tori paitan ramen
286,01-03-2017,4.97687E+15,1,tori paitan ramen
287,01-03-2017,7.16298E+15,1,tori paitan ramen
288,01-03-2017,7.16298E+15,1,tori paitan ramen
289,01-03-2017,8.96984E+15,1,tori paitan ramen
290,01-03-2017,8.96984E+15,1,tori paitan ramen
291,01-03-2017,8.74572E+15,1,vegetarian curry + king trumpet mushroom ramen
292,01-03-2017,8.74572E+15,1,vegetarian curry + king trumpet mushroom ramen
293,01-03-2017,6.44262E+14,1,miso crab ramen
294,01-03-2017,6.44262E+14,1,miso crab ramen
295,01-03-2017,6.09683E+15,1,shio ramen
296,01-03-2017,6.09683E+15,1,shio ramen
297,01-03-2017,5.35748E+15,1,tori paitan ramen
298,01-03-2017,5.35748E+15,1,tori paitan ramen
299,01-03-2017,6.25405E+15,1,vegetarian spicy miso
300,01-03-2017,6.25405E+15,1,vegetarian spicy miso
301,01-03-2017,4.44101E+15,1,tonkotsu ramen
302,01-03-2017,4.44101E+15,1,tonkotsu ramen
303,01-03-2017,4.41649E+15,1,miso crab ramen
304,01-03-2017,4.41649E+15,1,miso crab ramen
305,01-03-2017,9.31883E+15,3,tonkotsu ramen
306,01-03-2017,9.31883E+15,3,tonkotsu ramen
307,01-03-2017,1.38878E+15,1,miso crab ramen
308,01-03-2017,1.38878E+15,1,miso crab ramen
309,01-03-2017,7.83313E+15,2,tori paitan ramen
310,01-03-2017,7.83313E+15,2,tori paitan ramen
311,01-03-2017,1.00667E+14,1,shio ramen
312,01-03-2017,1.00667E+14,1,shio ramen
313,01-03-2017,9.83987E+15,2,miso crab ramen
314,01-03-2017,9.83987E+15,2,miso crab ramen
315,01-03-2017,2.3235E+15,2,tori paitan ramen
316,01-03-2017,2.3235E+15,2,tori paitan ramen
317,01-03-2017,9.58876E+14,1,truffle butter ramen
318,01-03-2017,9.58876E+14,1,truffle butter ramen
319,01-03-2017,9.45841E+15,2,truffle butter ramen
320,01-03-2017,9.45841E+15,2,truffle butter ramen
321,01-03-2017,2.09369E+14,3,tonkotsu ramen
322,01-03-2017,2.09369E+14,3,tonkotsu ramen
323,01-03-2017,8.22861E+15,4,burnt garlic tonkotsu ramen
324,01-03-2017,8.22861E+15,4,burnt garlic tonkotsu ramen
325,01-03-2017,7.28835E+15,2,tonkotsu ramen
326,01-03-2017,7.28835E+15,2,tonkotsu ramen
327,01-03-2017,5.31207E+15,1,tori paitan ramen
328,01-03-2017,5.31207E+15,1,tori paitan ramen
329,01-03-2017,4.74747E+15,1,spicy miso ramen
330,01-03-2017,4.74747E+15,1,spicy miso ramen
331,01-03-2017,4.85942E+15,2,truffle butter ramen
332,01-03-2017,4.85942E+15,2,truffle butter ramen
333,01-03-2017,3.26776E+15,4,shio ramen
334,01-03-2017,3.26776E+15,4,shio ramen
335,01-03-2017,2.11517E+13,1,vegetarian curry + king trumpet mushroom ramen
336,01-03-2017,2.11517E+13,1,vegetarian curry + king trumpet mushroom ramen
337,01-03-2017,6.16093E+15,2,burnt garlic tonkotsu ramen
338,01-03-2017,6.16093E+15,2,burnt garlic tonkotsu ramen
339,01-03-2017,2.16625E+15,1,truffle butter ramen
340,01-03-2017,2.16625E+15,1,truffle butter ramen
341,01-04-2017,4.28351E+15,1,vegetarian spicy miso
342,01-04-2017,4.28351E+15,1,vegetarian spicy miso
343,01-04-2017,4.64335E+15,1,vegetarian curry + king trumpet mushroom ramen
344,01-04-2017,4.64335E+15,1,vegetarian curry + king trumpet mushroom ramen
345,01-04-2017,2.42127E+15,1,vegetarian curry + king trumpet mushroom ramen
346,01-04-2017,2.42127E+15,1,vegetarian curry + king trumpet mushroom ramen
347,01-04-2017,2.95186E+15,2,tori paitan ramen
348,01-04-2017,2.95186E+15,2,tori paitan ramen
349,01-04-2017,7.57142E+15,1,soft-shell miso crab ramen
350,01-04-2017,7.57142E+15,1,soft-shell miso crab ramen
351,01-04-2017,2.29472E+15,1,tori paitan ramen
352,01-04-2017,2.29472E+15,1,tori paitan ramen
353,01-04-2017,1.47697E+15,1,truffle butter ramen
354,01-04-2017,1.47697E+15,1,truffle butter ramen
355,01-04-2017,6.63134E+15,4,burnt garlic tonkotsu ramen
356,01-04-2017,6.63134E+15,4,burnt garlic tonkotsu ramen
357,01-04-2017,6.62742E+14,4,spicy miso ramen
358,01-04-2017,6.62742E+14,4,spicy miso ramen
359,01-04-2017,2.6498E+15,1,truffle butter ramen
360,01-04-2017,2.6498E+15,1,truffle butter ramen
361,01-04-2017,8.66079E+15,1,truffle butter ramen
362,01-04-2017,8.66079E+15,1,truffle butter ramen
363,01-04-2017,1.5795E+15,1,tori paitan ramen
364,01-04-2017,1.5795E+15,1,tori paitan ramen
365,01-04-2017,5.01768E+15,1,tonkotsu ramen
366,01-04-2017,5.01768E+15,1,tonkotsu ramen
367,01-04-2017,8.66592E+15,1,vegetarian curry + king trumpet mushroom ramen
368,01-04-2017,8.66592E+15,1,vegetarian curry + king trumpet mushroom ramen
369,01-04-2017,2.57981E+15,1,shio ramen
370,01-04-2017,2.57981E+15,1,shio ramen
371,01-04-2017,4.03921E+14,1,spicy miso ramen
372,01-04-2017,4.03921E+14,1,spicy miso ramen
373,01-04-2017,2.24976E+15,2,burnt garlic tonkotsu ramen
374,01-04-2017,2.24976E+15,2,burnt garlic tonkotsu ramen
375,01-04-2017,1.92729E+15,1,miso crab ramen
376,01-04-2017,1.92729E+15,1,miso crab ramen
377,01-04-2017,6.57128E+15,1,tori paitan ramen
378,01-04-2017,6.57128E+15,1,tori paitan ramen
379,01-04-2017,4.62905E+15,1,nagomi shoyu
380,01-04-2017,4.62905E+15,1,nagomi shoyu
381,01-04-2017,2.89018E+15,1,vegetarian curry + king trumpet mushroom ramen
382,01-04-2017,2.89018E+15,1,vegetarian curry + king trumpet mushroom ramen
383,01-04-2017,7.30996E+14,1,spicy miso ramen
384,01-04-2017,7.30996E+14,1,spicy miso ramen
385,01-04-2017,1.85679E+15,1,spicy miso ramen
386,01-04-2017,1.85679E+15,1,spicy miso ramen
387,01-04-2017,6.82532E+15,1,tori paitan ramen
388,01-04-2017,6.82532E+15,1,tori paitan ramen
389,01-04-2017,8.94937E+15,1,soft-shell miso crab ramen
390,01-04-2017,8.94937E+15,1,soft-shell miso crab ramen
391,01-04-2017,1.70704E+15,1,miso crab ramen
392,01-04-2017,1.70704E+15,1,miso crab ramen
393,01-04-2017,3.86179E+15,1,tori paitan ramen
394,01-04-2017,3.86179E+15,1,tori paitan ramen
395,01-04-2017,6.97834E+15,2,tori paitan ramen
396,01-04-2017,6.97834E+15,2,tori paitan ramen
397,01-04-2017,2.42941E+15,1,shio ramen
398,01-04-2017,2.42941E+15,1,shio ramen
399,01-04-2017,1.62313E+14,1,truffle butter ramen
400,01-04-2017,1.62313E+14,1,truffle butter ramen
401,01-04-2017,7.42941E+15,4,spicy miso ramen
402,01-04-2017,7.42941E+15,4,spicy miso ramen
403,01-04-2017,3.38984E+15,1,tori paitan ramen
404,01-04-2017,3.38984E+15,1,tori paitan ramen
405,01-04-2017,3.8653E+14,1,vegetarian spicy miso
406,01-04-2017,3.8653E+14,1,vegetarian spicy miso
407,01-04-2017,9.75386E+15,1,soft-shell miso crab ramen
408,01-04-2017,9.75386E+15,1,soft-shell miso crab ramen
409,01-04-2017,5.97311E+15,1,vegetarian curry + king trumpet mushroom ramen
410,01-04-2017,5.97311E+15,1,vegetarian curry + king trumpet mushroom ramen
411,01-04-2017,6.15893E+15,1,vegetarian spicy miso
412,01-04-2017,6.15893E+15,1,vegetarian spicy miso
413,01-04-2017,4.75162E+15,3,nagomi shoyu
414,01-04-2017,4.75162E+15,3,nagomi shoyu
415,01-04-2017,6.41971E+15,3,shio ramen
416,01-04-2017,6.41971E+15,3,shio ramen
417,01-04-2017,7.61968E+15,1,truffle butter ramen
418,01-04-2017,7.61968E+15,1,truffle butter ramen
419,01-04-2017,5.54947E+15,1,miso crab ramen
420,01-04-2017,5.54947E+15,1,miso crab ramen
421,01-04-2017,2.3515E+15,1,tori paitan ramen
422,01-04-2017,2.3515E+15,1,tori paitan ramen
423,01-04-2017,6.12225E+15,1,burnt garlic tonkotsu ramen
424,01-04-2017,6.12225E+15,1,burnt garlic tonkotsu ramen
425,01-04-2017,1.35981E+15,1,shio ramen
426,01-04-2017,1.35981E+15,1,shio ramen
427,01-04-2017,3.24646E+14,1,nagomi shoyu
428,01-04-2017,3.24646E+14,1,nagomi shoyu
429,01-04-2017,2.5602E+15,1,tonkotsu ramen
430,01-04-2017,2.5602E+15,1,tonkotsu ramen
431,01-04-2017,9.42474E+15,1,shio ramen
432,01-04-2017,9.42474E+15,1,shio ramen
433,01-04-2017,8.12461E+15,1,truffle butter ramen
434,01-04-2017,8.12461E+15,1,truffle butter ramen
435,01-04-2017,5.45628E+15,1,spicy miso ramen
436,01-04-2017,5.45628E+15,1,spicy miso ramen
437,01-04-2017,8.80892E+15,1,vegetarian spicy miso
438,01-04-2017,8.80892E+15,1,vegetarian spicy miso
439,01-04-2017,4.60449E+15,1,tonkotsu ramen
440,01-04-2017,4.60449E+15,1,tonkotsu ramen
441,01-04-2017,8.2549E+15,1,burnt garlic tonkotsu ramen
442,01-04-2017,8.2549E+15,1,burnt garlic tonkotsu ramen
443,01-04-2017,8.68427E+15,1,shio ramen
444,01-04-2017,8.68427E+15,1,shio ramen
445,01-04-2017,5.38449E+15,1,soft-shell miso crab ramen
446,01-04-2017,5.38449E+15,1,soft-shell miso crab ramen
447,01-04-2017,6.47076E+15,1,tonkotsu ramen
448,01-04-2017,6.47076E+15,1,tonkotsu ramen
449,01-04-2017,7.36969E+15,4,spicy miso ramen
450,01-04-2017,7.36969E+15,4,spicy miso ramen
451,01-04-2017,6.9676E+13,1,tonkotsu ramen
452,01-04-2017,6.9676E+13,1,tonkotsu ramen
453,01-04-2017,7.0998E+15,1,shio ramen
454,01-04-2017,7.0998E+15,1,shio ramen
455,01-05-2017,8.35379E+15,1,miso crab ramen
456,01-05-2017,8.35379E+15,1,miso crab ramen
457,01-05-2017,2.42385E+15,1,truffle butter ramen
458,01-05-2017,2.42385E+15,1,truffle butter ramen
459,01-05-2017,9.86013E+15,1,spicy miso ramen
460,01-05-2017,9.86013E+15,1,spicy miso ramen
461,01-05-2017,3.92211E+15,1,vegetarian curry + king trumpet mushroom ramen
462,01-05-2017,3.92211E+15,1,vegetarian curry + king trumpet mushroom ramen
463,01-05-2017,4.18653E+15,1,soft-shell miso crab ramen
464,01-05-2017,4.18653E+15,1,soft-shell miso crab ramen
465,01-05-2017,7.14519E+15,1,miso crab ramen
466,01-05-2017,7.14519E+15,1,miso crab ramen
467,01-05-2017,2.30264E+15,1,vegetarian curry + king trumpet mushroom ramen
